question,document
Can I still join the course if I found it late?,74eb249bbf
Is it okay to start the course after it has already begun?,74eb249bbf
"If I join now, do I still have a chance to get a certificate?",74eb249bbf
What do I need to do to be eligible for the course certificate?,74eb249bbf
Do I have to submit my project before submissions close to get the certificate?,74eb249bbf
I signed up for LLM Zoomcamp but still haven’t gotten any confirmation email — is that normal?,977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c
"If I registered for the course, does that mean I’m officially accepted already?",977bf7786c
Is there some list of registered students that homework submissions get checked against?,977bf7786c
What’s the point of registering if I can just start learning and turning in homework anyway?,977bf7786c
How do I join the Office Hours or live workshop stream if I’m a student?,489dd1c9d9
"Is there a Zoom link for the live sessions, or is it only for instructors and TAs?",489dd1c9d9
Where can I find the video URL for the Office Hours before the session starts?,489dd1c9d9
"Should I ask questions in the chat during the live stream, or is there another place to submit them?",489dd1c9d9
"Can I watch the workshop live on YouTube, and where do I send my questions?",489dd1c9d9
Where should I begin if I want to start this course and not miss anything important?,04919992b3
"Do I need to wait for a specific date, or can I just begin the lessons whenever I want?",04919992b3
"What’s the usual weekly routine for this course — watch videos first, then notebooks, then homework?",04919992b3
Where do I find the deadlines and submit my homework answers?,04919992b3
"Is the homework basically the same as the lesson work, or does it use a different dataset/task?",04919992b3
How can I find my own row on the leaderboard if I can’t spot my name there?,c2903069a0
"Why do I show up under a random name on the leaderboard, and can I change it?",c2903069a0
Where do I check what my display name is for the course?,c2903069a0
What’s the difference between the nickname field and the official name field in my course profile?,c2903069a0
How do I make sure my certificate shows my real name instead of the default random one?,c2903069a0
Can I take the course at my own pace and still earn the certificate?,69d122f12e
Do you give certificates if I’m just doing the self-paced version?,69d122f12e
Why isn’t there a certificate for self-paced students?,69d122f12e
Is peer-review required to get the course certificate?,69d122f12e
"If the course is over, can I still do the capstone peer reviews and qualify for the certificate?",69d122f12e
Do I still qualify for the certificate if I skipped the first homework?,9f689c185f
"Is homework actually required to get the course certificate, or is the capstone enough?",9f689c185f
"If I miss an early assignment, can I still finish the course and get certified?",9f689c185f
"Do homework points matter for the certificate, or only for the leaderboard?",9f689c185f
What do I need to complete to receive the certificate if I didn’t do all the homework?,9f689c185f
Why does this homework keep changing before it’s due?,96286b4be4
What does [DRAFT] in a homework title mean?,96286b4be4
How do I know if a homework is actually ready to work on?,96286b4be4
Can I start the homework early if it still says draft?,96286b4be4
Why is the homework content different every time I open it?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when llm-zoomcamp starts again?,bd31146b0e
What’s the next course session date for this class?,bd31146b0e
Is there a planned summer 2027 run for the course?,bd31146b0e
When can I expect the next offering of the course?,bd31146b0e
Where do I find the course videos for LLM Zoomcamp?,31456f4b5f
Is there a central place to start if I want to watch the lectures?,31456f4b5f
"Do the lesson folders include the video links, or do I need to look somewhere else?",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to get the latest course videos?,31456f4b5f
How can I quickly locate the right lecture video for each lesson?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and homework updates?,20c5a1347e
Is there a place to see deadlines and my progress for this course?,20c5a1347e
What platform should I use to follow the current cohort structure in LLM Zoomcamp?,20c5a1347e
How do I track assignments and due dates for the zoomcamp in one place?,20c5a1347e
Does LLM Zoomcamp have a management site like the other DataTalks.Club courses?,20c5a1347e
"Do you guys have live sessions for every module, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask for help — Slack or somewhere else?",d65e05bd7a
How do I find out when a live session is happening for this course?,d65e05bd7a
Is there any optional support with regular Zoom office hours for LLM Zoomcamp?,d65e05bd7a
"Are the extra office hours and structured help included in the free course, or is that a separate paid thing?",d65e05bd7a
Can I get learning in public credits if I post on Bluesky?,dbf5369006
Does a Bluesky post count toward the learning in public requirement?,dbf5369006
Are Bluesky updates accepted for learning in public credits in this course?,dbf5369006
"If I share my progress on Bluesky, will that count for credits?",dbf5369006
Can I use Bluesky activity as proof for learning in public credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I find the course Telegram channel for announcements?,054f3fd58f
"Is there a Telegram group or channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Where do I get course announcements if I’m in LLM Zoomcamp?,054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the course videos?,e2d595f23c
Is it normal if the FAQ count in my run doesn't match the videos?,e2d595f23c
Did the FAQ data change since the lessons were recorded?,e2d595f23c
Why are there extra or missing questions compared to what I see in the video?,e2d595f23c
How come the FAQ dataset size keeps changing when I rerun the code?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the submission form is still open?,a9353fadfe
"The deadline is over, but the form still lets me submit — does that mean my homework will be accepted?",a9353fadfe
"Do I lose the chance to submit once the deadline date passes, or only when the form gets closed?",a9353fadfe
"If the homework form hasn't been closed yet, is it okay to submit after the deadline?",a9353fadfe
"My course deadline passed, but the submission page is still open. Should I go ahead and submit now?",a9353fadfe
Can I turn in homework after the deadline if the submission form is still open?,cdc3b285e5
Do you ever grant individual deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework assignment — does it affect my certificate?,cdc3b285e5
Are late homework submissions accepted once the form has been closed?,cdc3b285e5
"Do homework grades matter for the certificate, or only for the leaderboard rank?",cdc3b285e5
Is the name I enter for the certificate visible to everyone online or sent to other companies too?,651ba06b34
What name shows up on the public leaderboard if I change the certificate name?,651ba06b34
Can I keep my real name off the leaderboard but still have it printed on the certificate?,651ba06b34
"In Edit Course Profile, which field is the nickname and which one is the certificate name?",651ba06b34
"Does the certificate name ever get published publicly, or is it only used on the certificate itself?",651ba06b34
Why doesn’t the course start with LangChain right away?,b7cdde6b25
What’s the reason for building the LLM app parts by hand first instead of using a framework?,b7cdde6b25
"Is there a specific benefit to learning prompting, retrieval, indexing, and evaluation before using tools like LangChain?",b7cdde6b25
Do we need to know the basics under the hood before moving to higher-level libraries for LLM apps?,b7cdde6b25
Why is LangChain introduced later rather than being the main tool from the beginning?,b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does the OpenAI `responses.create` command error usually mean if my account has no credits left?,f5df151c59
How do I fix the insufficient credits error from OpenAI when using `responses.create`?,f5df151c59
Is the `OpenAI API Error: Insufficient credits` message caused by my code or by my account balance?,f5df151c59
What should I check in my OpenAI account if `responses.create` keeps failing with a credits error?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have free usage, or do I need to add money first?",152af39a53
What does 'insufficient_quota' mean in the OpenAI error message?,152af39a53
How can I fix the quota/billing problem so my request runs again?,152af39a53
"After adding credits, do I need a new API key or can I keep using the old one?",152af39a53
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
"Will I end up spending a lot on the OpenAI API, or is it really cheap?",554d0eb78b
"Do I have to put in a big amount first, or can I just add a small balance like $5?",554d0eb78b
"For the course tasks, roughly how much does the OpenAI API usage cost?",554d0eb78b
"Is OpenAI API usage in this course more like pennies, or should I expect a bigger bill?",554d0eb78b
Do I need to subscribe to the OpenAI API to finish the homework in this course?,85384a18e5
"Is paying for OpenAI required for the course assignments, or are there free options?",85384a18e5
